"id","text","unit","updated","firstPeriod","latestPeriod","active","variables"
"FERT1","Samlet fertilitet (15-49 år)","Pr. 1.000 kvinder","2023-02-10T08:00:00","1986","2022",TRUE,"herkomst,tid"
"FOD33","Fertilitetskvotienter","Pr. 1.000 kvinder","2023-02-10T08:00:00","1973","2022",TRUE,"alder,tid"
"FOD407","Fertilitetskvotienter","Pr. 1.000 kvinder","2023-02-10T08:00:00","2006","2022",TRUE,"område,alder,tid"
"DOD","Døde","Antal","2023-02-10T08:00:00","1974","2022",TRUE,"alder,køn,tid"
"FOD207","Døde","Antal","2023-02-10T08:00:00","2006","2022",TRUE,"område,alder,køn,tid"
"DODDAG","Dødsfald","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"dødsdag,dødsmåned,tid"
"DODA1","Døde","Antal","2023-03-16T08:00:00","2007","2021",TRUE,"dødsårsag,alder,køn,tid"
"DODB1","Døde","Antal","2023-03-16T08:00:00","2007","2021",TRUE,"dødsårsag,køn,tid"
"DOD2","Døde under 5 år","Antal","2023-02-10T08:00:00","1901","2022",TRUE,"køn,alder,tid"
"DODC1","Døde pr. dag (eksperimentel statistik)","Antal","2023-09-22T08:00:00","2007M01D01","2023M09D17",TRUE,"køn,alder,tid"
"DODC2","Døde pr. uge (eksperimentel statistik)","Antal","2023-09-22T08:00:00","2007U01","2023U37",TRUE,"område,køn,alder,tid"
"SMIT1","COVID-19 smittespredning mv. pr. dag (eksperimentel statistik)","-","2022-05-20T08:00:00","2020M03D21","2022M04D29",TRUE,"nøgletal,tid"
"HISB7","Middellevetid for 0-årige","År","2023-02-10T08:00:00","1840:1849","2021:2022",TRUE,"køn,tid"
"HISBR","Middellevetid for 0-årige","År","2023-02-10T08:00:00","2000:2001","2021:2022",TRUE,"område,køn,tid"
"HISB77","Middellevetid for 0-årige","År","2023-02-10T08:00:00","2000:2001","2021:2022",TRUE,"område,køn,tid"
"LABY21","Middellevetid for 0-årige","År","2023-09-12T08:00:00","2006:2007","2021:2022",TRUE,"kommunegruppe,køn,tid"
"HISBK","Middellevetid for 0-årige","År","2023-02-10T08:00:00","2000:2004","2018:2022",TRUE,"område,tid"
"HISB8","Dødelighedstavle (2-års tavler)","-","2023-02-10T08:00:00","1981:1982","2021:2022",TRUE,"alder,køn,dødelighedstavle,tid"
"HISB9","Dødelighedstavle (5-års tavler)","-","2023-02-10T08:00:00","1901:1905","2018:2022",TRUE,"alder,køn,dødelighedstavle,tid"
"FAM55N","Husstande 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,husstandstype,husstandsstørrelse,antal børn i husstand,tid"
"FAM122N","Voksne 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,husstandstype,antal personer i husstand ,antal børn i husstand,køn,alder,tid"
"BY4","Husstande 1. januar","Antal","2023-06-02T08:00:00","2010","2023",TRUE,"byområder og landdistrikter,husstandstype,antal børn,tid"
"FAM44N","Familier 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,familietype,familiestørrelse,antal børn,tid"
"FAM44BA","Børnefamilier 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,enhed,familietype,børn fra alder,børn til alder,tid"
"LABY04","Familier m/u børn i procent af alle familier i samme kommune eller kommunegruppe","Pct.","2023-06-20T08:00:00","2007","2023",TRUE,"område,familietype,tid"
"FAM100N","Voksne 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,familietype,antal personer i familien,antal børn i familien,køn,alder,tid"
"FAM111N","Børn 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,familietype,antal personer i familien,antal børn i familien,køn,alder,tid"
"FAM133N","Børn 1. januar","Antal","2023-02-23T08:00:00","1986","2023",TRUE,"område,husstandstype,antal personer i husstand ,antal børn i husstand,køn,alder,tid"
"BRN13","Børn","Antal","2023-02-23T08:00:00","2008","2023",TRUE,"område,voksne i bopælsfamilien ,bopælsfamilietype,voksne i samværsfamilien  ,samværsfamilietype,alder,tid"
"BRN15","Børn fordelt på søskende de bor sammen med - antal og kombination","Antal","2023-02-23T08:00:00","2008","2023",TRUE,"område,alder,familietype,antal søskende,kombination af søskende,tid"
"BRN16","Børn fordelt på alle søskende - antal og kombination","Antal","2023-02-23T08:00:00","2008","2023",TRUE,"område,alder,familietype,antal søskende,kombination af søskende,tid"
"BRN9","Børn","Antal","2023-02-23T08:00:00","2007","2023",TRUE,"område,alder,familietype,mor status,far status,tid"
"BRN11","Børn med familieskift","Antal","2023-02-23T08:00:00","2008","2023",TRUE,"område,familieskift,familietype sidste år,familietype i år,alder,tid"
"BRN12","Børns (0-17-årige) familier","Antal","2023-02-23T08:00:00","2008","2023",TRUE,"antal børn,børnefamilietype,familietype,tid"
"BRN10","Børn og unge (alle 0-29-årige) 1. januar, der har mistet forældre ved dødsfald","Antal","2023-02-23T08:00:00","2001","2023",TRUE,"område,alder,mor status,far status,status på begge forældre,tid"
"VIE207","Vielser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","2006","2022",TRUE,"brudgommens bopæl,brudens bopæl,brudgommens alder,brudens alder,brudgommens tidligere civilstand,brudens tidligere civilstand,tid"
"VIE307","Vielser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","2006","2022",TRUE,"mandens bopæl,kvindens bopæl,vielsesmåned,vielsesmyndighed,tid"
"VIE9","Vielser","Antal","2023-06-21T08:00:00","2007","2022",TRUE,"vielsesmyndighed,vielsesmåned,tid"
"VIE4","Vielser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","1999","2022",TRUE,"mandens oprindelsesland,kvindens oprindelsesland,mandens alder,kvindens alder,mandens herkomst,kvindens herkomst,tid"
"VIE5","Vielser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","1999","2022",TRUE,"mandens statsborgerskab,kvindens statsborgerskab,mandens alder,kvindens alder,tid"
"VIE8","Vielser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","2007","2022",TRUE,"brudgommens alder,brudens alder,vielsesmyndighed,tid"
"VIE6","Vielser mellem to af samme køn","Antal","2023-02-13T08:00:00","2012","2022",TRUE,"køn,ældste persons alder,yngste persons alder,vielsesmyndighed,tid"
"VIEDAG","Vielser","Antal","2023-02-13T08:00:00","2007","2022",TRUE,"vielsesdag,vielsesmåned,tid"
"VIE7KVT","Vielser og indgåede registrerede partnerskaber","Antal","2023-08-11T08:00:00","2020M01","2023M06",TRUE,"type,tid"
"VIE7","Vielser og indgåede registrerede partnerskaber","Antal","2023-06-29T08:00:00","1989","2022",TRUE,"type,tid"
"BEV3C","Vielser og skilsmisser","Antal","2023-02-13T08:00:00","1983M01","2022M12",TRUE,"bevægelse,tid"
"VIE1","Gennemsnitsalder for viede mænd og kvinder","-","2023-02-13T08:00:00","1901","2022",TRUE,"alder,tid"
"SKI107","Skilsmisser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","2006","2022",TRUE,"mandens bopæl,kvindens bopæl,mandens alder,kvindens alder,ægteskabets varighed,tid"
"SKI207","Skilsmisser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","2006","2022",TRUE,"mandens bopæl,kvindens bopæl,skilsmissemåned,tid"
"SKI3","Skilsmisser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","1999","2022",TRUE,"mandens oprindelsesland,kvindens oprindelsesland,mandens alder,kvindens alder,mandens herkomst,kvindens herkomst,tid"
"SKI4","Skilsmisser mellem to af forskelligt køn","Antal","2023-02-13T08:00:00","1999","2022",TRUE,"mandens statsborgerskab,kvindens statsborgerskab,mandens alder,kvindens alder,tid"
"SKI55","Skilsmisseprocent","Pct.","2023-02-13T08:00:00","1986","2022",TRUE,"enhed,tid"
"SKI6KVT","Skilsmisser og opløste partnerskaber","Antal","2023-08-11T08:00:00","2020M01","2023M06",TRUE,"type,tid"
"SKI6","Skilsmisser og opløste partnerskaber","Antal","2023-02-13T08:00:00","1999","2022",TRUE,"type,tid"
"OPL2023","Ægteskaber","-","2023-02-13T08:00:00","2023","2023",TRUE,"vielsesår,ægteskabets varighed,ægteskabsopløsning,tid"
"PBOERN1","Fuldtidsomregnet pædagogisk personale i private dagtilbudsinstitutioner","Antal","2023-03-17T08:00:00","2021","2021",TRUE,"område,stillingskategori,uddannelse,tid"
"BOERN1","Fuldtidsomregnet pædagogisk personale i kommunale og selvejende daginstitutioner og dagpleje","Antal","2023-02-02T08:00:00","2015","2021",TRUE,"område,stillingskategori,uddannelse,tid"
"PBOERN2","Fuldtidsomregnet indskrevne børn i private dagtilbudsinstitutioner","Antal","2022-10-28T08:00:00","2021","2021",TRUE,"område,pasningstilbud,tid"
"BOERN2","Fuldtidsomregnet indskrevne børn i kommunale og selvejende daginstitutioner og dagpleje","Antal","2022-09-21T08:00:00","2015","2021",TRUE,"område,pasningstilbud,tid"
"BOERN3","Normeringer i daginstitutioner og dagpleje","Antal","2022-09-21T08:00:00","2015","2021",TRUE,"område,pasningstilbud,tid"
"BOERN61","Fuldtidsomregnet pædagogisk personale i kommunale skolefritidsordninger","Antal","2023-08-24T08:00:00","2015","2022",TRUE,"område,stillingskategori,tid"
"BOERN5","Indskrevne børn i fritidsordninger","Antal","2023-08-24T08:00:00","2015","2022",TRUE,"område,pasningstilbud,ejerform,alder,tid"
"DAGTIL4","Modtagere af tilskud vedr. privat pasning og pasning af egne børn","Antal","2023-04-26T08:00:00","2008","2022",TRUE,"område,tilskudsart,berørte,tid"
"BOERN4","Institutioner og enheder","Antal","2022-09-23T08:00:00","2017","2021",TRUE,"område,pasningstilbud,ejerform,tid"
"RES88","Årstakster i børnepasning","Kr.","2023-04-03T08:00:00","2007","2023",TRUE,"område,foranstaltningsart,tid"
"FLY","Samtlige flytninger","Antal","2023-02-10T08:00:00","1980","2022",TRUE,"køn,alder,tid"
"FLY33","Flytninger inden for kommuner","Antal","2023-02-10T08:00:00","2006","2022",TRUE,"område,alder,køn,tid"
"FLY55","Flytninger mellem regioner","Antal","2023-02-10T08:00:00","2006","2022",TRUE,"køn,alder,tilflytningsregion,fraflytningsregion,tid"
"FLY67","Flytninger mellem kommunegrupper","Antal","2023-02-10T08:00:00","2017","2022",TRUE,"tilflytningskommune,fraflytningskommune,alder,køn,til kommunegruppe,fra kommunegruppe,tid"
"FLY66","Flytninger mellem kommuner","Antal","2023-02-10T08:00:00","2006","2022",TRUE,"tilflytningskommune,fraflytningskommune,alder,køn,tid"
"FLYDAG","Flytninger","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"flyttedag,flyttemåned,tid"
"VAN1KVT","Indvandring (foreløbig opgørelse)","Antal","2023-08-11T08:00:00","2007K2","2023K2",TRUE,"område,køn,alder,indvandringsland,statsborgerskab,tid"
"VAN1UGE","Indvandring","Antal","2023-09-22T08:00:00","2021U52","2023U37",TRUE,"område,køn,alder,indvandringsland,statsborgerskab,tid"
"VAN1AAR","Indvandring","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"område,køn,alder,indvandringsland,statsborgerskab,tid"
"INDVAN","Indvandring","Antal","2023-02-10T08:00:00","1980","2022",TRUE,"køn,alder,statsborgerskab,indvandringsland,tid"
"VAN2KVT","Udvandring (foreløbig opgørelse)","Antal","2023-08-11T08:00:00","2007K2","2023K2",TRUE,"område,køn,alder,udvandringsland,statsborgerskab,tid"
"VAN2AAR","Udvandring","Antal","2023-02-10T08:00:00","2007","2022",TRUE,"område,køn,alder,udvandringsland,statsborgerskab,tid"
"UDVAN","Udvandring","Antal","2023-02-10T08:00:00","1980","2022",TRUE,"køn,alder,statsborgerskab,udvandringsland,tid"
"BOL101","Boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,beboertype,anvendelse,udlejningsforhold,ejerforhold,opførelsesår,tid"
"BOL102","Boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,beboertype,anvendelse,opførelsesår,opvarmning,toiletforhold,badeforhold,køkkenforhold,tid"
"BOL103","Boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,beboertype,anvendelse,antal værelser,boligstørrelse i kvm.,husstandsstørrelse,tid"
"BOL104","Boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,beboertype,anvendelse,udlejningsforhold,husstandstype,antal børn,tid"
"BOL105","Boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,beboertype,anvendelse,opvarmning,toiletforhold,badeforhold,husstandstype,antal børn,tid"
"BOL106","Boliger","-","2023-06-13T08:00:00","2010","2023",TRUE,"område,enhed,anvendelse,tid"
"BOLRD","Beboede boliger","Antal","2023-06-13T08:00:00","1930","2023",TRUE,"udlejningsforhold,tid"
"BOL201","Personer i boliger","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,anvendelse,udlejningsforhold,ejerforhold,opførelsesår,alder,køn,tid"
"BOL202","Personer","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,anvendelse,opvarmning,toiletforhold,badeforhold,køkkenforhold,alder,køn,tid"
"BOL203","Personer","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,anvendelse,udlejningsforhold,antal værelser,husstandsstørrelse,antal børn,alder,køn,tid"
"BOL204","Personer","Antal","2023-06-13T08:00:00","2010","2023",TRUE,"område,anvendelse,udlejningsforhold,husstandstype,antal børn,alder,køn,tid"
"INDAMP01","Befolkningen","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,persongruppe,nøgletal,alder,køn,tid"
"INDAMP02","Befolkningen","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,diagnosegruppe,nøgletal,alder,køn,tid"
"INDAMP03","Befolkningen","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"diagnosegruppe,nøgletal,alder,køn,tid"
"INDL01","Indlæggelser (LPR3)","Antal","2022-12-22T08:00:00","2019","2021",TRUE,"område,diagnose,akut/ikke-akut,alder,køn,tid"
"INDL02","Indlæggelser (LPR3)","Antal","2022-12-22T08:00:00","2019","2021",TRUE,"område,diagnose,akut/ikke-akut,alder,køn,tid"
"IND03","Indlæggelser, sengedage og indlagte patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,alder,køn,tid"
"IND04","Indlæggelser, sengedage og indlagte patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,diagnose,alder,køn,tid"
"IND05","Indlæggelser, sengedage og indlagte patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,sengedage,alder,køn,tid"
"INDP01","Indlagte patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,dominerende diagnose,alder,køn,tid"
"INDP02","Indlagte patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,diagnose,alder,køn,tid"
"AMBU01","Ambulante behandlinger (LPR3)","Antal","2023-05-22T08:00:00","2019","2021",TRUE,"region,diagnose,akut/ikke-akut,alder,køn,tid"
"AMBU02","Ambulante behandlinger (LPR3)","Antal","2023-05-22T08:00:00","2019","2021",TRUE,"region,diagnose,akut/ikke-akut,alder,køn,tid"
"AMB03","Ambulante behandlinger og ambulante patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,alder,køn,tid"
"AMB04","Ambulante behandlinger og ambulante patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,diagnose,alder,køn,tid"
"AMB05","Ambulante behandlinger og ambulante patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,nøgletal,behandlinger,alder,køn,tid"
"AMBP01","Ambulante patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,dominerende diagnose,alder,køn,tid"
"AMBP02","Ambulante patienter","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,diagnose,alder,køn,tid"
"SKAD01","Akut ambulante besøg","Antal","2019-07-10T08:00:00","2006","2018",TRUE,"område,diagnose,alder,køn,tid"
